step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,telar-placeholder,0.5,0.5,1,,Why does Love in UCSB matters?,"Love can be seen everywhere. People might think in university like UCSB might varies in some aspect from normal love seen in other places like high-school or ar work. However, love at UCSB is just normal as the other places, but every loving moments are profound and can be interpreted as deep. ",,,,,,,,
2,telar-placeholder,0.5,0.5,1,,"Thesis statement ","At UCSB, love appears in many ordinary and diverse ways, from friendships and romantic relationships to small acts of care between classmates, couples, and strangers. Although these moments of love may seem common in everyday campus life, each one carries its own meaning because it reflects connection, support, and emotional presence. In this way, love at UCSB is both ordinary and extraordinary: it is everywhere, but every expression of it can still feel personal, powerful, and profound.",,,,,,,,
3,telar-placeholder,0.5,0.5,1,,Overview,"During the observation, I went to HSSB ILP and Library. And I took some pictures about people expressing love that I think is normal but profound. ",,,,,,,,
