step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,aa1ksu1d,0.5,0.5,1,,What did stories teach us about love at UCSB?,"These teach me that love in UCSB is very diverse, since here is only 4 picture, but those four picture can show different types of love which is in my anticipation. This diversity of love in UCSB is in my anticipation is because not like high school, universities and college are more like a little society, which is a bridge to the real society. Thus, in society there are more diversity is very common. However, by having real observation into love in society is very interesting since I can guess about others’ mental process in the aspect of love. ",,,,,,,,
2,aa1ksu1d,0.5,0.5,1,,Connections to the Articles,"Most readings in Ureadings are having main object on romantic love and about human to human. However, in my observation, even though there are some observations about romantic love and human to human, we cannot ignore the love and passion that human have to things like hobby. ",,,,,,,,
3,aa1ksu1d,0.5,0.5,1,,Things in Common,"Even though all the stories demonstrate different type of love or even different concepts. I can see behind those stories are things that are very common to see around us, but they all can show how people experience and express their love in small different ways with a same goal of helping themselves or helping others. 
Not just in UCSB, among the world small but profound and meaningful moments of helping each-others are happening in the same ways, but experiences varies. ",,,,,,,,
